staff_id,staff_name,ss_year,ss_id,title,doi,Should be in diag.bib,Reason
8038506,Bram van Ginneken,2023,e738d94746b0f33b1c48737022ab186618d4d4cd,SimpleRad: Patient-Friendly Dutch Radiology Reports,10.1007/978-3-031-28241-6_18,no,Lecture notes
8038506,Bram van Ginneken,2022,2d49fb82fd715a213e2149f9f08dd2fb4749b235,Challenges in digital medicine applications in under-resourced settings,10.1038/s41467-022-30728-3,no,Interviewing article with experts
8038506,Bram van Ginneken,2022,2f2182f8e55be5a85c1316cd1b181cd5c85c106c,Metrics reloaded: Pitfalls and recommendations for image analysis validation,10.48550/arXiv.2206.01653,no,211 page document about Image analysis
8038506,Bram van Ginneken,2022,bc6b483f9b1fa630fa4b43158b13716f1ca7497b,Domain adaptation strategies for cancer-independent detection of lymph node metastases,10.48550/arXiv.2207.06193,no,"Arxiv paper, no published tag"
8038506,Bram van Ginneken,2019,14701232a78e72a3a780d01e59c943037e21902f,Genetic landscape of chronic obstructive pulmonary disease identifies heterogeneous cell type and phenotype associations,10.1038/s41588-018-0342-2,no,COPD Genetics Consortium
8038506,Bram van Ginneken,2018,6b604b6896cfd670bd9afe4172a2e5bf591b0cc2,MA20.09 Improved Lung Cancer and Mortality Prediction Accuracy Using Survival Models Based on Semi-Automatic CT Image Measurements,10.1016/J.JTHO.2018.08.488,no,Oral abstract
8038506,Bram van Ginneken,2018,76e5406b159352dc13b051f3e1b7259abb499317,Real-Life Artificial Intelligence Applications,10.5334/JBSR.1656,no,Short abstract
8038506,Bram van Ginneken,2018,d1e0a041fc417d82c584191ecf5b3b536127d9e0,"Erratum: â€œComputed tomography quantification of tracheal abnormalities in COPD and their influence on airflow limitation.â€ [Med. Phys., 44: 3594-3603 (2017)]",10.1002/MP.13065,no,Eratum
8038506,Bram van Ginneken,2018,f886ee663da1c3987b5828d62bd8176f6f3dc79e,ES01.03 Deep Machine Learning for Screening LDCT,10.1016/j.jtho.2018.08.020,no,Education Session
8038506,Bram van Ginneken,2017,63c9344c2046a0403941eb8a91d307b9e1190928,MA 14.11 Malignancy Risk Prediction of Pulmonary Nodule in Lung Cancer Screening â€“ Diameter Or Volumetric Measurement,10.1016/J.JTHO.2017.09.580,no,Oral abstract
8038506,Bram van Ginneken,2015,2fa5f435f41242e8ef053e94ae7af400014ca7d3,"Erratum: Towards a close computed tomography monitoring approach for screen detected subsolid pulmonary nodules? (vol 45, pg 765, 2015)",10.1183/09031936.50005914,no,Eratum
8038506,Bram van Ginneken,2015,368d4191051016d050fd0c7bd1e166ada03ce00a,Detection of Lung Nodules in Chest Radiography,10.1201/B18191-11,no,Chapter in book
8038506,Bram van Ginneken,2015,f6f8f2eea0b4992cc64dc0d850061eee8837ecb7,Reproducibility of airway wall thickness measurements on CT in a lung cancer screening setting,10.1183/13993003.CONGRESS-2015.PA762,no,Conference abstract
8038506,Bram van Ginneken,2015,f7fc14ab71c783222a73599cc2dfd4e4e19e4b78,Bone density is associated with emphysema and air trapping on CT in smokers,10.1183/13993003.CONGRESS-2015.PA3754,no,Conference abstract
123637526,Bram van Ginneken,2023,d4fcad866167d5eeb2e0b1f18027c65055b97ad2,Prevalence of abnormal spirometry in individuals with a smoking history and no known obstructive lung disease,10.1016/j.rmed.2023.107126,no,COPD Investigators
